,country,SUM(usd_pledged)
0,AT,14451653.888556978
1,AU,54965224.867824875
2,BE,5963505.71252429
3,CA,112432907.01273413
4,CH,19435417.638828836
5,DE,54424475.454548456
6,DK,11033924.532265777
7,ES,24281129.462916933
8,FR,48536026.19308696
9,GB,298732943.2253976
10,HK,22263452.468548547
11,IE,5678333.700296405
12,IT,25627131.6417825
13,JP,4676375.587420921
14,LU,546185.6609718746
15,MX,4091229.6046037152
16,NL,36543906.82453668
17,NO,3897921.5160813914
18,NZ,10581166.466257371
19,SE,20266478.7278919
20,SG,9507867.910733338
21,US,3270883676.0199995
