,city,company_name,id,qualifying_party,state
0,Baton Rouge,"A. S. Gomez, Inc.",259104,,LA
1,Ponchatoula,Absolute Roofing & Exteriors of Louisiana LLC,321399,,LA
2,Houston,"Acadian Roofing, LLC",298888,,TX
3,Covington,"ALL AROUND ROOFING, LLC",293664,,LA
4,Gonzales,Americano Roofing & Remodel LLC,281592,,LA
5,Fenton,Arei LLC,251315,,MO
6,Tyler,AXION SALES FORCE INC.,286524,,TX
7,Metairie,"B & J ENTERPRISE OF METAIRIE, INC",289167,,LA
8,Elm Grove,"Bear's Contracting, LLC",269105,,LA
9,Richmond,"Beinert Roofing & Restoration, LLC",308165,,TX
10,Paradis,Best Choice Construction LLC,317794,,LA
11,Millsap,"Big Thicket Ventures, LLC",309630,,TX
12,Omaha,"Bigsky Restoration, LLC.",317998,,NE
13,Baton Rouge,"Blanco's Roofing & Sheetmetal, LLC",190021,,LA
14,Baton Rouge,C.A.S. Roofing LLC,318928,,LA
15,COVINGTON,CF Breeze Construction LLC,291081,,LA
16,White Oak,"CLEAN CUT GENERAL CONTRACTORS, LLC",293685,,TX
17,Clewiston,"Clyde Johnson Contracting and Roofing, Inc.",307554,,FL
18,Napoleonville,"Complete Gutter Services, L.L.C.",277721,,LA
19,Shreveport,"Constructiva Roofing, LLC",307436,,LA
20,Plano,"Crest Exteriors Louisiana, LLC",306250,,TX
21,Houma,Donald A. Sevin Jr.,317736,,LA
22,Orange Beach,Doug M. Howell,317146,,AL
23,Covington,"EAGLE EYE INVESTMENTS, LLC",231706,,LA
24,Metairie,Eco Roof and Solar Inc.,307455,,LA
25,Lexington,"Exterior Genie, LLC",307459,,SC
26,Lowell,G&A Construction LLC (of Arkansas),320443,,AR
27,Brandon,"G.T. Construction, LLC",307951,,MS
28,Marrero,Garcia & Jaimes Contractors LLC,281020,,LA
29,Shreveport,Golden Roofing LLC,301313,,LA
30,Littleton,Good Knight Roofing LLC,318684,,CO
31,Newcastle,Ground Zero Roofing & Construction Co. L.L.C.,317664,,OK
32,Gulfport,Gulf South Roofing LLC of MS,322487,,MS
33,Pensacola,"Guy Brother's Roofing, Inc.",319105,,FL
34,Ruston,"Heard Construction Roofing Division, LLC",321361,,LA
35,Monroe,"Homesmart Storm Solutions, LLC",321348,,GA
36,North Richland Hills,"Hunter's Precision Commercial Construction, Inc.",298089,,TX
37,Houston,"Infinity Roofing & Siding, Inc.",251414,,TX
38,Springdale,Iron Shield Roofing and Restoration LLC,317839,,AR
39,Tiki Island,J.C. Metal Roofing Inc,308038,,TX
40,Shreveport,JB ROOFING & CONSTRUCTION LLC,292240,,LA
41,White Castle,"JRE, LLC",222192,,LA
42,Tyler,"Koppel & Kozel, LLC",301375,,TX
43,Lake Charles,Lake Area Roofing LLC,304032,,LA
44,Grapeland,Landis Legacy Inc.,317411,,TX
45,Coppell,"Leaf Roofing & Sheet Metal, LLC",321016,,TX
46,Addison,"Linear Roofing & General Contractors, LLC",308176,,TX
47,Tallahassee,Lloyd Roofing and Construction Inc.,317685,,FL
48,HUMBLE,Madison Reece LLC,309754,,TX
49,LAUREL,"Magnolia Roofing and Construction, LLC",324039,,MS
50,Birmingham,Magnum Construction LLC of Alabama,317960,,AL
51,Hattiesburg,"MALONE ROOFING SERVICES, LLC",252388,,MS
52,Metairie,"Master Maintenance Roofing, Co.",318981,,LA
53,Kingfisher,"Millennium Roofing and Construction, LLC",307929,,OK
54,St. Franciville,MORROW BUILDERS LLC,267218,,LA
55,Oklahoma City,"Orange Elephant Roofing & Construction, LLC",317557,,OK
56,Baton Rouge,"Ortiz Roofing Contractors, LLC",317814,,LA
57,North Little Rock,"P.I. Roof Maintenance, Inc.",178637,,AR
58,Farmerville,"Patterson Enterprisez, LLC",317657,,LA
59,Baton Rouge,Poboy911 LLC,321782,,LA
60,Katy,"Pra Roof Contractors, Inc.",324849,,TX
61,Baton Rouge,Premier South LLC,238995,,LA
62,Omaha,"Pyramid Contractors, Inc.",318511,,NE
63,Little Elm,Quesste Ventures LLC,312155,,TX
64,KENNEDALE,"Quick Roofing, LLC",270005,,TX
65,Westlake,R & L Roofing & Siding LLC,303731,,LA
66,Covington,RBJ Roofing LLC,299168,,LA
67,Katy,"Remedy Roofing, Inc.",229651,,TX
68,Rockwall,Robert N. Cordts,310456,,TX
69,Naples,"Roof Revolution, Inc",317633,,FL
70,Mandeville,"Roofworks, L.L.C.",317915,,LA
71,Center,"S GOODWIN ROOF SERVICE, LLC",237008,,TX
72,Cleveland,"S. Cook Construction, L.P.",230647,,TX
73,Youngsville,Schexnayder Management Group LLC,311216,,LA
74,Humble,"Seibert Enterprises, LLC",298403,,TX
75,Slidell,SHIFFLETT EXTERIORS LLC,280762,,LA
76,Lake Charles,SRK INC,313061,,LA
77,Tyler,"Stonewater Roofing, Ltd. Co. LLC",296849,,TX
78,Melissa,"Tallent Roofing, Inc.",245648,,TX
79,Rockwall,"Tejas Roofworks + Restoration, LLC",317801,,TX
80,Sumter,Terry Eddie Land,307367,,SC
81,Gonzales,"Top-Notch Roofing & Construction, LLC",312437,,LA
82,Baton Rouge,"V & V Roofing & Sheet Metal, L.L.C.",219384,,LA
83,Baton Rouge,"VR&C, LLC",303865,,LA
84,Houston,"Walton Residential Services, LLC",308739,,TX
85,Randolph,WW Restoration LLC,318578,,AL
86,Lake Charles,You Call We Haul Services LLC,308699,,LA
