,name,capacity_mw,latitude,longitude,primary_fuel
76,Biopio,22.8,-12.4706,13.7319,Oil
77,Biopio (hydro),14.6,-12.4706,13.7319,Hydro
78,Cambambe,180.0,-9.7523,14.4809,Hydro
79,Capanda,520.0,-9.7955,15.4672,Hydro
80,Cazenga,132.0,-8.8383,13.2344,Gas
81,Huambo,16.26,-12.76,15.75,Oil
82,Lobito,20.0,-12.37,13.57,Gas
83,Luanda Diesel,58.0,-8.8383,13.2344,Oil
84,Luanda Refinery,18.5,-8.8383,13.2344,Oil
85,Malongo,10.0,-5.55,12.2,Oil
86,Matala,40.0,-14.7333,15.0333,Hydro
87,Namibe,11.68,-15.1961,12.1522,Gas
88,Rio Luachimo,16.0,-7.3,20.85,Hydro
89,Xitoto,11.34,-15.3333,15.0,Oil
