,name,capacity_mw,latitude,longitude,primary_fuel
12502,Altheim,17.8,51.5365,14.3829,Hydro
12504,Alzwerke GmbH,45.0,48.1769,12.8405,Hydro
12517,Aufkirchen,27.0,48.3067,11.8588,Hydro
12553,Bergheim,23.7,48.7508,11.2732,Hydro
12561,Bertoldsheim,18.9,48.7359,11.0209,Hydro
12565,Bigge,15.0,51.0932,7.8627,Hydro
12600,Bittenbrunn,20.2,48.7345,11.1438,Hydro
12605,Bleiloch,79.8,50.5244,11.7144,Hydro
12627,Braunau-Simbach,50.0,48.0638,10.1284,Hydro
12690,Dessau,10.3,47.7393,10.8257,Hydro
12694,Dettingen,11.0,48.5275,9.3488,Hydro
12695,Detzem,24.0,49.8109,6.8439,Hydro
12699,Dingolfing,15.0,48.634,12.4837,Hydro
12707,Dornau,16.6,47.8002,10.9026,Hydro
12744,Egglfing,40.4,48.3206,13.3161,Hydro
12750,Eitting,26.0,48.3586,11.8822,Hydro
12751,Ellgau,9.7,48.5967,10.8789,Hydro
12766,Enkirch,18.4,49.9767,7.1278,Hydro
12768,Ering,36.5,48.2935,13.1585,Hydro
12773,Erzhausen,220.0,51.8991,9.9245,Hydro
12775,Ettling,12.6,48.6961,12.7978,Hydro
12779,Faimingen,10.1,48.5584,10.4118,Hydro
12780,Fankel,16.4,50.1239,7.2259,Hydro
12782,Feldkirchen,38.2,47.9609,12.1561,Hydro
12819,Gars,25.0,48.154,12.3111,Hydro
12824,Geesthacht,119.1,53.426,10.3359,Hydro
12828,Geisling,25.0,48.9748,12.344,Hydro
12849,Goldisthal,1052.0,50.5098,11.0209,Hydro
12893,Gummering,14.8,48.6225,12.398,Hydro
12981,Heimbach,16.0,50.6286,6.4518,Hydro
13011,Hemfurth,40.0,51.1671,9.0468,Hydro
13030,Hohenwarte,377.6,50.6038,11.4752,Hydro
13043,Häusern,100.0,47.7546,8.1879,Hydro
13044,Höchstädt,10.0,48.6032,10.5827,Hydro
13076,Ingolstadt,19.8,48.7503,11.4122,Hydro
13082,Jochenstein,66.0,48.5196,13.7085,Hydro
13093,KW Rheinfelden,46.7,47.5699,7.8101,Hydro
13097,KW Wyhlen,37.9,47.5524,7.6581,Hydro
13108,Kachlet,53.7,48.5797,13.4083,Hydro
13116,Kaufering,16.7,48.084,10.8649,Hydro
13141,Koblenz,16.0,50.3659,7.5817,Hydro
13143,Koepchenwerk,153.0,51.4105,7.4531,Hydro
13147,Kopswerk I,247.0,46.9684,10.0599,Hydro
13151,Kraftwerk 3,18.5,48.1539,12.6524,Hydro
13169,Kraftwerk Waldshut,150.0,47.6178,8.1926,Hydro
13172,Kraftwerksgruppe Pfreimd,127.0,49.53,12.2848,Hydro
13192,Landau,12.6,48.6679,12.66,Hydro
13201,Laufenburg,104.4,47.5559,8.0494,Hydro
13207,Lehmen,20.0,50.2747,7.459,Hydro
